feature_name,feature_index
CreditScore,0
FirstPaymentDate,1
FirstTimeHomebuyerFlag,2
MaturityDate,3
MSA,4
MI_Pct,5
NumberOfUnits,6
OccupancyStatus,7
OriginalCLTV,8
OriginalDTI,9
OriginalUPB,10
OriginalLTV,11
OriginalInterestRate,12
Channel,13
PPM_Flag,14
ProductType,15
PropertyState,16
PropertyType,17
PostalCode,18
LoanPurpose,19
OriginalLoanTerm,20
NumberOfBorrowers,21
SellerName,22
ServicerName,23
SuperConformingFlag,24
PreHARP_Flag,25
ProgramIndicator,26
ReliefRefinanceIndicator,27
PropertyValMethod,28
InterestOnlyFlag,29
BalloonIndicator,30
LTV_x_DTI,31
UPB_per_CreditScore,32
InterestRate_x_LTV,33
Single_Borrower_Flag,34
High_DTI_and_Low_CreditScore_Flag,35
DTI_HighRisk_Flag,36
DTI_MidRisk_Flag,37
Borrowers_Risk_Flag,38
BorrowerCount_Ajusted_DTI,39
Affordability_Index,40
LTV_Change,41
High_LTV_Flag,42
amort_short_mean,43
amort_short_70,44
amort_short_50,45
amort_short_std,46
io_payment_count,47
Zero_Payment_Streak,48
Early_Delinquency_Flag,49
Amortization_Lag,50
Early_Payment_Trend,51
UPB_trend_x_amort_short_mean,52
CurrentNonInterestBearingUPB_slope_full,53
MaturityPressure_Index,54
CurrentActualUPB_w_main_trend,55
CurrentActualUPB_w_main_vol,56
CurrentActualUPB_w_main_dmean,57
CurrentActualUPB_w_main_dstd,58
CurrentActualUPB_w_alt1_trend,59
CurrentActualUPB_w_alt1_vol,60
CurrentActualUPB_w_alt1_dmean,61
CurrentActualUPB_w_alt1_dstd,62
CurrentActualUPB_w_alt2_trend,63
CurrentActualUPB_w_alt2_vol,64
CurrentActualUPB_w_alt2_dmean,65
CurrentActualUPB_w_alt2_dstd,66
